filed_date,permit_number,county,city,address,zip_code,permit_type,status,applicant_name,owner_name,contractor_name,description,est_value,sqft,parcel_number,matched_company,match_score
2026-03-04,BD-2026-005100,"Pasco County, FL",San Antonio,12600 Mirada Blvd,33576,Commercial New Construction,Application Received,Publix Super Markets Inc,Publix Realty LLC,Brasfield & Gorrie LLC,"New 50,400 SF Publix — Mirada master-planned community","$7,100,000","50,400",05-25-20-0000-00200-0010,Publix,100%
2026-02-28,BC-2026-004810,"Hillsborough County, FL",Tampa,5200 E Hillsborough Ave,33610,Commercial New Construction,Plan Review,Amazon Logistics Inc,Amazon Logistics Inc,Gray Construction Inc,"New 105,000 SF last-mile delivery station (DTA5)","$12,400,000","105,000",U-20-28-19-ZZZ-000000-33300,Amazon,100%
2026-02-18,BD-2026-003550,"Pasco County, FL",Wesley Chapel,8800 SR-56,33545,Commercial New Construction,Plan Review,Walmart Real Estate Business Trust,Walmart Real Estate Business Trust,Harkins Builders Inc,"New 155,000 SF Walmart Supercenter — SR-56 / Meadow Pointe","$17,800,000","155,000",30-26-20-0000-00400-0010,Walmart,100%
2026-02-14,BLD-2026-007780,City of Tampa,Tampa,4320 W Boy Scout Blvd,33607,Commercial New Construction,Plan Review,Chick-fil-A Inc,CFA Properties Inc,Axiom Construction Inc,"New 5,200 SF Chick-fil-A with dual drive-through — Westshore","$2,450,000","5,200",A-21-29-17-ZZZ-000000-01220,Chick-fil-A,100%
2026-01-24,BD-2026-001800,"Pasco County, FL",Dade City,35500 SR-52,33523,Commercial New Construction,Application Received,Amazon Data Services Inc,Vadata Inc,Turner Construction Company,"New 220,000 SF hyperscale data center — Pasco Technology Campus","$310,000,000","220,000",16-24-21-0000-00100-0010,Amazon,100%
2026-01-16,BC-2026-002340,"Hillsborough County, FL",Lithia,5505 Lithia Pinecrest Rd,33547,Commercial New Construction,Application Received,Target Corporation,Target Real Estate LLC,Barton Malow Company,"New 128,000 SF Target — Fishhawk Ranch Town Center","$14,200,000","128,000",U-11-30-21-ZZZ-000000-77700,Target,100%
2026-01-07,BLD-2026-004400,City of Tampa,Tampa,1601 E Hillsborough Ave,33610,Commercial New Construction,Application Received,Home Depot USA Inc,Home Depot USA Inc,Skanska USA Building Inc,"New 105,000 SF The Home Depot — Ybor City redevelopment corridor","$13,500,000","105,000",A-09-29-19-ZZZ-000000-01100,Home Depot,100%
2025-11-18,BLD-2025-042100,City of Tampa,Tampa,3838 Henderson Blvd,33629,Commercial New Construction,Permit Issued,Publix Super Markets Inc,Publix Realty LLC,Welbro Building Corporation,"New 51,800 SF Publix GreenWise Market — Westshore district","$7,200,000","51,800",A-19-29-18-ZZZ-000000-00990,Publix,100%
2025-11-07,BD-2025-030900,"Pasco County, FL",Land O Lakes,3245 Rustling Oaks Dr,34638,Residential New Construction,Permit Issued,Lennar Homes LLC,Lennar Homes LLC,Lennar Homes LLC,"New single-family residence 2,210 SF","$285,000","2,210",03-26-18-0000-02200-0010,—,—
2025-10-30,BD-2025-028100,"Pasco County, FL",Land O Lakes,3400 Angeline Blvd,34638,Commercial New Construction,Plan Review,Publix Super Markets Inc,Publix Realty LLC,Welbro Building Corporation,"New 48,900 SF Publix — Angeline master-planned community","$6,600,000","48,900",28-25-18-0000-00100-0020,Publix,100%
