permit_number,county,permit_type,status,address,city,zip_code,applicant_name,owner_name,contractor_name,description,estimated_value,total_sqft,filed_date,parcel_number,matched_company,match_score,is_commercial,is_industrial
BC-2024-018844,"Hillsborough County, FL",Commercial New Construction,Permit Issued,7850 East Adamo Dr,Tampa,33619,Vadata Inc,Vadata Inc,Whiting-Turner Contracting Co,"New 1,050,000 SF fulfillment center - Class A tilt-wall construction","$148,000,000","1,050,000",2026-03-03,U-09-29-19-ZZZ-000000-00000,Amazon,100%,Yes,
BC-2024-019102,"Hillsborough County, FL",Commercial New Construction,Application Received,12301 Boyette Rd,Riverview,33569,Publix Super Markets Inc,Publix Realty LLC,Brasfield & Gorrie LLC,"New 49,200 SF supermarket with pharmacy and fuel center","$6,800,000","49,200",2026-03-10,U-27-30-20-ZZZ-000000-11100,Publix,100%,Yes,
BC-2024-017756,"Hillsborough County, FL",Commercial New Construction,Plan Review,10120 Gibsonton Dr,Gibsonton,33534,Wal-Mart Stores East LP,Walmart Real Estate Business Trust,Harkins Builders Inc,"New 152,000 SF Walmart Supercenter with garden center and tire/lube","$18,400,000","152,000",2026-02-22,U-01-31-19-ZZZ-000000-99900,Walmart,100%,Yes,
BC-2024-020011,"Hillsborough County, FL",Commercial Addition,Permit Issued,8701 N Dale Mabry Hwy,Tampa,33614,Home Depot USA Inc,Home Depot USA Inc,Coreslab Structures Inc,"52,000 SF garden center expansion and warehouse addition","$4,200,000","52,000",2026-03-07,U-10-28-18-ZZZ-000000-44400,Home Depot,100%,Yes,Yes
BC-2024-019500,"Hillsborough County, FL",Commercial New Construction,Application Received,2201 Bloomingdale Ave,Brandon,33596,Chick-fil-A Inc,CFA Properties Inc,Axiom Construction Inc,"New 4,850 SF Chick-fil-A restaurant with drive-through","$2,100,000","4,850",2026-03-12,U-22-30-20-ZZZ-000000-33300,Chick-fil-A,100%,Yes,
BLD-2024-044821,City of Tampa,Commercial New Construction,Permit Issued,4215 E Hillsborough Ave,Tampa,33610,Amazon.com Services LLC,Amazon Logistics Inc,DPR Construction,"New 95,000 SF last-mile delivery station (DST7)","$11,200,000","95,000",2026-03-06,A-16-29-19-ZZZ-000000-00220,Amazon,100%,Yes,
BLD-2024-043100,City of Tampa,Commercial New Construction,Plan Review,4811 W Gandy Blvd,Tampa,33611,Costco Wholesale Corporation,Costco Wholesale Corporation,Hensel Phelps Construction Co,"New 160,000 SF Costco warehouse with tire center and fuel station","$21,000,000","160,000",2026-02-27,A-30-29-17-ZZZ-000000-00110,Costco,100%,Yes,Yes
BLD-2024-045600,City of Tampa,Commercial Tenant Improvement,Permit Issued,1523 S Dale Mabry Hwy,Tampa,33629,Publix Super Markets Inc,Publix Realty LLC,Stellar Group Inc,"Full interior renovation 47,500 SF supermarket — new deli, bakery, pharmacy","$3,800,000","47,500",2026-03-09,A-24-29-18-ZZZ-000000-00440,Publix,100%,Yes,
BLD-2024-042200,City of Tampa,Commercial New Construction,Application Received,400 N Ashley Dr,Tampa,33602,Marriott International Inc,Marriott Hotel Services LLC,Suffolk Construction Co,"New 14-story, 312-room Courtyard by Marriott — downtown Tampa","$54,000,000","210,000",2026-02-15,A-01-29-18-ZZZ-000000-00880,Marriott,100%,Yes,
BLD-2024-046100,City of Tampa,Commercial New Construction,Plan Review,601 N Ashley Dr,Tampa,33602,Target Corporation,Target Real Estate LLC,McGough Construction LLC,"New 24,000 SF small-format Target store","$5,600,000","24,000",2026-03-11,A-01-29-18-ZZZ-000000-00330,Target,100%,Yes,
BLD-2024-043900,City of Tampa,Commercial New Construction,Permit Issued,5030 W Kennedy Blvd,Tampa,33609,McDonalds Corporation,McDonald's USA LLC,Conlan Company,"New 4,200 SF McDonald's restaurant with double drive-through","$1,850,000","4,200",2026-03-04,A-22-29-17-ZZZ-000000-00660,McDonald's,100%,Yes,
BD-2024-031441,"Pasco County, FL",Commercial New Construction,Permit Issued,2850 Trouble Creek Rd,New Port Richey,34655,Amazon Logistics Inc,Vadata Inc,Clancy & Theys Construction Co,"New 200,000 SF Amazon delivery station (DSP4) — tilt-wall","$19,500,000","200,000",2026-03-08,13-26-16-0000-00400-0010,Amazon,100%,Yes,
BD-2024-030800,"Pasco County, FL",Commercial New Construction,Plan Review,7800 Epperson Blvd,Wesley Chapel,33545,Publix Super Markets Inc,Publix Realty LLC,Welbro Building Corporation,"New 52,600 SF supermarket — Epperson Ranch Town Center","$7,400,000","52,600",2026-03-05,20-25-21-0000-00100-0130,Publix,100%,Yes,
BD-2024-031900,"Pasco County, FL",Commercial New Construction,Application Received,29100 SR-54,Wesley Chapel,33543,FedEx Ground Package System Inc,FedEx Ground Package System Inc,Conlan Company,"New 260,000 SF FedEx Ground distribution hub","$31,200,000","260,000",2026-02-28,10-26-20-0000-00200-0010,FedEx,100%,Yes,Yes
BD-2024-032100,"Pasco County, FL",Commercial New Construction,Permit Issued,5860 Cypress Ranch Blvd,Wesley Chapel,33544,Target Corporation,Target Real Estate LLC,Barton Malow Company,"New 135,000 SF Target store with drive-up, Starbucks, CVS pharmacy","$15,800,000","135,000",2026-02-21,09-26-20-0000-00100-0200,Target,100%,Yes,
BD-2024-030200,"Pasco County, FL",Commercial New Construction,Plan Review,2050 Zephyrhills Bypass Rd,Zephyrhills,33540,CFA Properties Inc,CFA Properties Inc,Axiom Construction Inc,"New 5,100 SF Chick-fil-A with dual drive-through lanes","$2,400,000","5,100",2026-02-24,25-26-21-0000-01100-0010,Chick-fil-A,100%,Yes,
BD-2024-029800,"Pasco County, FL",Commercial New Construction,Permit Issued,4100 Land O Lakes Blvd,Land O Lakes,34639,United Parcel Service Inc,UPS Supply Chain Solutions Inc,Skanska USA Building Inc,"New 185,000 SF UPS package hub and customer center","$22,000,000","185,000",2026-02-18,18-26-19-0000-00500-0010,UPS,100%,Yes,
BD-2024-031200,"Pasco County, FL",Commercial New Construction,Application Received,5500 Wesley Chapel Blvd,Wesley Chapel,33544,Costco Wholesale Corporation,Costco Wholesale Corporation,Hensel Phelps Construction Co,"New 158,000 SF Costco warehouse — Wiregrass Ranch area","$19,500,000","158,000",2026-03-02,11-26-20-0000-00300-0010,Costco,100%,Yes,Yes
